PLAYER_ID,FULL_NAME,TEAM_NAME,TEAM_ABBR,SEASON,PLATE_APPEARANCES,AT_BATS,HITS,BATTING_AVG,ON_BASE_PCT,SLUGGING_PCT,OPS,BABIP,HOME_RUNS,STRIKEOUTS,WALKS,XWOBA,BARREL_PCT,AVG_EXIT_VELOCITY,AVG_LAUNCH_ANGLE,GAP_SCORE
669194,Ryne Nelson,Arizona Diamondbacks,AZ,2025,1,1,1,1.0,1.0,1.0,2.0,1.0,0,0,0,0.118,0.0,89.8,-16.7,-0.882
676551,Brewer Hicklen,Detroit Tigers,DET,2025,4,3,2,0.667,0.75,0.667,1.417,1.0,0,1,1,0.349,50.0,88.9,-6.7,-0.31800000000000006
702358,Trey Lipscomb,Washington Nationals,WSH,2025,4,4,2,0.5,0.5,0.5,1.0,0.667,0,1,0,0.127,0.0,90.8,-48.3,-0.373
542963,Rob Brantly,Miami Marlins,MIA,2025,7,7,3,0.429,0.429,0.429,0.858,0.5,0,1,0,0.217,0.0,89.4,32.0,-0.212
682634,Kevin Alcántara,Chicago Cubs,CHC,2025,12,11,4,0.364,0.417,0.364,0.781,0.571,0,4,1,0.443,0.0,92.8,9.3,0.07900000000000001
621512,Tomás Nido,Detroit Tigers,DET,2025,37,35,12,0.343,0.361,0.343,0.704,0.48,0,10,0,0.278,0.0,86.4,10.4,-0.065
669369,Bryce Johnson,San Diego Padres,SD,2025,84,76,26,0.342,0.383,0.434,0.817,0.446,1,19,3,0.328,5.0,88.4,9.0,-0.014000000000000012
695257,Billy Cook,Pittsburgh Pirates,PIT,2025,6,6,2,0.333,0.333,0.333,0.666,0.4,0,1,0,0.382,0.0,81.6,26.4,0.04899999999999999
676356,Jonny DeLuca,Tampa Bay Rays,TB,2025,59,57,19,0.333,0.356,0.456,0.812,0.432,0,13,2,0.267,2.3,85.6,10.3,-0.066
690984,Petey Halpin,Cleveland Guardians,CLE,2025,8,6,2,0.333,0.5,0.333,0.833,0.5,0,2,2,0.276,0.0,72.0,-12.4,-0.056999999999999995
694388,Joey Loperfido,Toronto Blue Jays,TOR,2025,104,96,32,0.333,0.379,0.5,0.879,0.431,4,27,4,0.316,5.7,87.3,11.7,-0.017000000000000015
680700,Richie Palacios,Tampa Bay Rays,TB,2025,48,42,14,0.333,0.396,0.452,0.848,0.394,1,9,5,0.36,5.9,89.9,10.6,0.02699999999999997
592450,Aaron Judge,New York Yankees,NYY,2025,679,541,179,0.331,0.457,0.688,1.145,0.376,53,160,124,0.46,24.7,95.4,19.0,0.129
609280,Miguel Andujar,Cincinnati Reds,CIN,2025,341,321,102,0.318,0.352,0.47,0.822,0.348,10,49,17,0.298,4.7,88.0,11.0,-0.020000000000000018
666018,Jonathan Aranda,Tampa Bay Rays,TB,2025,422,370,117,0.316,0.393,0.489,0.882,0.409,14,107,41,0.382,12.8,93.0,14.5,0.066
622534,Manuel Margot,Detroit Tigers,DET,2025,20,19,6,0.316,0.3,0.316,0.616,0.429,0,6,0,0.301,0.0,79.5,10.1,-0.015000000000000013
666182,Bo Bichette,Toronto Blue Jays,TOR,2025,628,582,181,0.311,0.357,0.483,0.84,0.342,18,91,40,0.353,7.9,91.0,8.2,0.04199999999999998
805779,Jacob Wilson,Athletics,ATH,2025,523,486,151,0.311,0.355,0.444,0.799,0.317,13,39,27,0.304,2.2,84.6,8.8,-0.007000000000000006
543807,George Springer,Toronto Blue Jays,TOR,2025,586,498,154,0.309,0.399,0.56,0.959,0.34,32,111,69,0.404,16.1,90.0,17.2,0.09500000000000003
666126,Carlos Cortes,Athletics,ATH,2025,99,94,29,0.309,0.323,0.543,0.866,0.347,4,20,3,0.314,9.2,89.8,16.3,0.0050000000000000044
686452,Drew Millas,Washington Nationals,WSH,2025,55,49,15,0.306,0.358,0.449,0.807,0.357,0,7,4,0.305,2.3,84.8,8.5,-0.0010000000000000009
663853,Romy Gonzalez,Boston Red Sox,BOS,2025,341,315,96,0.305,0.343,0.483,0.826,0.378,9,81,18,0.344,12.6,93.3,5.5,0.03899999999999998
665161,Jeremy Peña,Houston Astros,HOU,2025,543,493,150,0.304,0.363,0.477,0.84,0.345,17,93,35,0.334,8.2,88.9,8.9,0.030000000000000027
607208,Trea Turner,Philadelphia Phillies,PHI,2025,639,589,179,0.304,0.355,0.457,0.812,0.35,15,107,43,0.321,5.8,89.3,9.1,0.017000000000000015
807712,Luke Keaschall,Minnesota Twins,MIN,2025,207,182,55,0.302,0.382,0.445,0.827,0.34,4,29,19,0.324,5.2,86.2,10.5,0.02200000000000002
686527,Dominic Canzone,Seattle Mariners,SEA,2025,269,243,73,0.3,0.358,0.481,0.839,0.354,11,59,20,0.376,14.4,92.3,10.5,0.07600000000000001
650490,Yandy Díaz,Tampa Bay Rays,TB,2025,651,583,175,0.3,0.366,0.482,0.848,0.318,25,92,57,0.353,8.3,93.0,5.0,0.05299999999999999
695600,Carter Jensen,Kansas City Royals,KC,2025,69,60,18,0.3,0.391,0.55,0.941,0.333,3,12,9,0.447,20.8,95.4,7.3,0.14700000000000002
695734,Daylen Lile,Washington Nationals,WSH,2025,351,321,96,0.299,0.347,0.498,0.845,0.336,9,56,21,0.348,5.2,88.9,15.0,0.04899999999999999
694208,Moisés Ballesteros,Chicago Cubs,CHC,2025,66,57,17,0.298,0.394,0.474,0.868,0.349,2,12,9,0.334,6.7,89.1,0.9,0.03600000000000003
663538,Nico Hoerner,Chicago Cubs,CHC,2025,649,599,178,0.297,0.345,0.394,0.739,0.313,7,49,39,0.322,2.3,86.7,12.5,0.025000000000000022
681987,Nate Eaton,Boston Red Sox,BOS,2025,90,81,24,0.296,0.348,0.383,0.731,0.371,1,19,6,0.293,6.3,88.8,8.8,-0.0030000000000000027
663968,Jake Mangum,Tampa Bay Rays,TB,2025,428,405,120,0.296,0.33,0.368,0.698,0.345,3,64,19,0.276,2.6,87.3,-0.7,-0.019999999999999962
669257,Will Smith,Los Angeles Dodgers,LAD,2025,436,362,107,0.296,0.404,0.497,0.901,0.345,17,89,64,0.378,12.2,91.3,18.4,0.08200000000000002
677951,Bobby Witt Jr.,Kansas City Royals,KC,2025,687,623,184,0.295,0.351,0.501,0.852,0.334,23,125,49,0.365,12.5,93.3,15.2,0.07
518692,Freddie Freeman,Los Angeles Dodgers,LAD,2025,627,556,164,0.295,0.367,0.502,0.869,0.342,24,128,60,0.35,10.4,90.9,14.3,0.05499999999999999
802415,Chandler Simpson,Tampa Bay Rays,TB,2025,441,414,122,0.295,0.326,0.345,0.671,0.327,0,43,20,0.297,0.0,84.3,0.5,0.0020000000000000018
647304,Josh Naylor,Seattle Mariners,SEA,2025,604,543,160,0.295,0.353,0.462,0.815,0.315,20,83,48,0.335,6.7,89.2,11.6,0.040000000000000036
665489,Vladimir Guerrero Jr.,Toronto Blue Jays,TOR,2025,680,589,172,0.292,0.381,0.467,0.848,0.313,23,94,81,0.384,12.2,92.0,7.8,0.09200000000000003
650333,Luis Arraez,San Diego Padres,SD,2025,675,620,181,0.292,0.327,0.392,0.719,0.289,8,21,34,0.303,1.1,86.1,12.2,0.01100000000000001
805300,Jakob Marsee,Miami Marlins,MIA,2025,234,209,61,0.292,0.363,0.478,0.841,0.357,5,48,22,0.347,8.0,88.9,10.9,0.05499999999999999
701350,Roman Anthony,Boston Red Sox,BOS,2025,303,257,75,0.292,0.396,0.463,0.859,0.404,8,84,40,0.372,15.5,94.5,6.9,0.08000000000000002
676694,Jake Meyers,Houston Astros,HOU,2025,381,343,100,0.292,0.354,0.373,0.727,0.353,3,67,31,0.325,5.0,88.1,9.8,0.03300000000000003
642851,Austin Wynns,Athletics,ATH,2025,110,103,30,0.291,0.321,0.544,0.865,0.364,6,32,5,0.295,9.6,88.6,13.0,0.0040000000000000036
701762,Nick Kurtz,Athletics,ATH,2025,489,420,122,0.29,0.383,0.619,1.002,0.364,36,151,63,0.372,18.4,92.7,15.3,0.08200000000000002
660670,Ronald Acuña Jr.,Atlanta Braves,ATL,2025,412,338,98,0.29,0.417,0.518,0.935,0.358,21,102,71,0.397,15.7,92.7,13.3,0.10700000000000004
